year_quarter,year,quarter,region_en,region_ar,classification_ar,classification_en,transaction_count,median_price,median_area,median_price_per_m2,avg_price,avg_area,total_value
202101.0,2021.0,1.0,Riyadh,منطقة الرياض,تجاري,Commercial,2623,800000.0,820.9,1150.0,2832359.0,3143.3,7429278084.0
202101.0,2021.0,1.0,Jazan,منطقة جازان,تجاري,Commercial,200,262500.0,641.1,385.0,504154.0,1326.7,100830797.0
202101.0,2021.0,1.0,Northern Borders,منطقة الحدود الشمالية,تجاري,Commercial,239,50000.0,691.7,80.0,169805.0,729.9,40583419.0
202101.0,2021.0,1.0,Madinah,منطقة المدينة المنورة,تجاري,Commercial,407,530000.0,650.0,821.0,902316.0,1066.9,367242683.0
202101.0,2021.0,1.0,Tabuk,منطقة تبوك,تجاري,Commercial,735,260000.0,640.0,328.0,389775.0,850.0,286484714.0
202101.0,2021.0,1.0,Makkah,منطقة مكة المكرمة,تجاري,Commercial,1918,605000.0,730.3,811.0,1913473.0,1362.6,3670041381.0
202101.0,2021.0,1.0,Makkah,منطقة مكة المكرمة,زراعي,Agricultural,102,255594.0,10259.5,40.0,1374407.0,32257.9,140189561.0
202101.0,2021.0,1.0,Northern Borders,منطقة الحدود الشمالية,زراعي,Agricultural,8,50000.0,126400.0,0.0,49125.0,125687.5,393000.0
202101.0,2021.0,1.0,Tabuk,منطقة تبوك,زراعي,Agricultural,26,100000.0,54375.0,2.0,756538.0,133148.7,19670000.0
202101.0,2021.0,1.0,Madinah,منطقة المدينة المنورة,زراعي,Agricultural,167,53000.0,30000.0,2.0,505405.0,62180.5,84402673.0
202101.0,2021.0,1.0,Al Baha,منطقة الباحة,زراعي,Agricultural,25,90000.0,2232.1,29.0,174900.0,7952.0,4372500.0
202101.0,2021.0,1.0,Asir,منطقة عسير,زراعي,Agricultural,100,80000.0,16612.5,12.0,709017.0,22719.8,70901726.0
202101.0,2021.0,1.0,Qassim,منطقة القصيم,زراعي,Agricultural,250,237108.0,50000.0,9.0,1025475.0,144758.3,256368801.0
202101.0,2021.0,1.0,Eastern Province,منطقة الشرقية,زراعي,Agricultural,376,410000.0,50000.0,23.0,1098941.0,76314.2,413201689.0
202101.0,2021.0,1.0,Riyadh,منطقة الرياض,زراعي,Agricultural,2542,280000.0,10000.0,52.0,784784.0,96459.5,1994921142.0
202101.0,2021.0,1.0,Jazan,منطقة جازان,زراعي,Agricultural,54,220000.0,15101.0,17.0,877398.0,34262.6,47379500.0
202101.0,2021.0,1.0,Hail,منطقة حائل,زراعي,Agricultural,533,35000.0,110000.0,0.0,205743.0,383061.2,109661110.0
202101.0,2021.0,1.0,Al Jouf,منطقة الجوف,زراعي,Agricultural,123,50000.0,90000.0,1.0,186608.0,385664.0,22952744.0
202101.0,2021.0,1.0,Najran,منطقة نجران,زراعي,Agricultural,77,100000.0,50000.0,3.0,408558.0,43244.9,31459000.0
202101.0,2021.0,1.0,Tabuk,منطقة تبوك,سكني,Residential,1962,200000.0,630.0,250.0,239057.0,709.3,469029138.0
202101.0,2021.0,1.0,Madinah,منطقة المدينة المنورة,سكني,Residential,3177,389340.0,600.0,813.0,493938.0,664.1,1569241526.0
202101.0,2021.0,1.0,Hail,منطقة حائل,سكني,Residential,2476,100000.0,600.0,153.0,163327.0,719.2,404396689.0
202101.0,2021.0,1.0,Al Baha,منطقة الباحة,سكني,Residential,573,65000.0,600.0,114.0,112895.0,694.2,64688604.0
202101.0,2021.0,1.0,Asir,منطقة عسير,سكني,Residential,4051,145000.0,600.0,227.0,298124.0,1174.4,1207700990.0
202101.0,2021.0,1.0,Eastern Province,منطقة الشرقية,سكني,Residential,10058,300000.0,525.0,560.0,531755.0,815.2,5348390944.0
202101.0,2021.0,1.0,Qassim,منطقة القصيم,سكني,Residential,7073,118800.0,500.0,233.0,202428.0,872.2,1431770375.0
202101.0,2021.0,1.0,Riyadh,منطقة الرياض,سكني,Residential,27804,320000.0,600.0,571.0,660577.0,1224.0,18366680678.0
202101.0,2021.0,1.0,Makkah,منطقة مكة المكرمة,سكني,Residential,13705,400000.0,619.0,750.0,671580.0,671.9,9203999695.0
202101.0,2021.0,1.0,Northern Borders,منطقة الحدود الشمالية,سكني,Residential,1812,40000.0,630.0,63.0,72595.0,670.4,131541240.0
202101.0,2021.0,1.0,Najran,منطقة نجران,سكني,Residential,1348,40000.0,750.0,57.0,98142.0,736.9,132294746.0
202101.0,2021.0,1.0,Al Jouf,منطقة الجوف,سكني,Residential,1701,80000.0,624.6,123.0,125654.0,658.7,213737841.0
