year,quarter,region_en,region_ar,transaction_count,total_value,median_price,median_price_per_m2,avg_deal_value
2025.0,4.0,Makkah,منطقة مكة المكرمة,13673,17921021529.0,638277.0,2281.1953463614936,1310686.8667446794
2020.0,1.0,Najran,منطقة نجران,2110,300481766.0,90000.0,121.95121951219512,142408.41990521326
2020.0,2.0,Najran,منطقة نجران,811,168940071.0,99000.0,127.8409090909091,208310.8150431566
2020.0,3.0,Najran,منطقة نجران,1680,193088173.0,90000.0,112.5,114933.43630952381
2020.0,4.0,Najran,منطقة نجران,1766,263079304.0,50000.0,53.34756314478833,148969.0283125708
2021.0,1.0,Najran,منطقة نجران,1761,198807746.0,45000.0,50.0,112894.80181714935
2021.0,2.0,Najran,منطقة نجران,1270,205364992.0,50000.0,58.41121495327103,161704.71811023622
2021.0,3.0,Najran,منطقة نجران,893,170053323.0,60000.0,74.07407407407408,190429.25307950727
2021.0,4.0,Najran,منطقة نجران,1150,253055220.0,100000.0,121.95121951219512,220048.01739130434
2022.0,1.0,Najran,منطقة نجران,999,188168972.0,100000.0,125.0,188357.32932932934
2022.0,2.0,Najran,منطقة نجران,960,149437207.0,100000.0,118.9767995240928,155663.75729166667
2022.0,3.0,Najran,منطقة نجران,887,130031408.0,90000.0,117.02127659574468,146596.85231116123
2022.0,4.0,Najran,منطقة نجران,879,249420790.0,100000.0,121.95121951219512,283755.16496018204
2023.0,1.0,Najran,منطقة نجران,753,115660856.0,100000.0,125.0,153600.0743691899
2023.0,2.0,Najran,منطقة نجران,693,148433578.99999997,99000.0,113.4020618556701,214189.86868686863
2023.0,3.0,Najran,منطقة نجران,794,145562027.31,100000.0,118.00334168755222,183327.49031486147
2023.0,4.0,Najran,منطقة نجران,888,171066315.0,100000.0,125.0,192642.24662162163
2024.0,1.0,Najran,منطقة نجران,738,132465610.0,100000.0,122.20009955201593,179492.69647696477
2024.0,2.0,Najran,منطقة نجران,1002,200520230.0,100000.0,126.82539682539684,200119.99001996007
2024.0,3.0,Najran,منطقة نجران,719,145693001.0,100000.0,126.98412698412699,202632.8247566064
2024.0,4.0,Najran,منطقة نجران,893,292718031.0,100000.0,138.88888888888889,327791.74804031354
2025.0,1.0,Najran,منطقة نجران,809,250696621.0,105000.0,159.0909090909091,309884.5747836836
2025.0,3.0,Najran,منطقة نجران,740,173281452.0,100000.0,131.57894736842104,234164.12432432434
2025.0,4.0,Najran,منطقة نجران,731,188271818.0,100000.0,142.04545454545453,257553.78659370725
2020.0,1.0,Northern Borders,منطقة الحدود الشمالية,1969,373520284.0,99000.0,137.97909407665506,189700.499746064
2020.0,2.0,Northern Borders,منطقة الحدود الشمالية,1376,289031974.0,100000.0,143.1989063568011,210052.3066860465
2020.0,3.0,Northern Borders,منطقة الحدود الشمالية,1977,235339579.0,80000.0,123.35058132914996,119038.7349519474
2020.0,4.0,Northern Borders,منطقة الحدود الشمالية,1844,165343082.0,50000.0,69.44444444444444,89665.44577006508
2021.0,1.0,Northern Borders,منطقة الحدود الشمالية,2059,172517659.0,40000.0,63.492063492063494,83787.1097620204
2021.0,2.0,Northern Borders,منطقة الحدود الشمالية,1069,169273837.0,40000.0,62.5,158347.83629560337
2021.0,3.0,Northern Borders,منطقة الحدود الشمالية,832,105445884.0,50000.0,74.62635705169642,126737.84134615384
2021.0,4.0,Northern Borders,منطقة الحدود الشمالية,879,95188727.0,50000.0,72.12405337179949,108292.06712172924
2022.0,1.0,Northern Borders,منطقة الحدود الشمالية,876,102666642.0,50000.0,71.79973606070604,117199.36301369863
2022.0,2.0,Northern Borders,منطقة الحدود الشمالية,846,102842035.0,45000.0,65.87615283267458,121562.68912529551
2022.0,3.0,Northern Borders,منطقة الحدود الشمالية,1058,104994714.0,40000.0,51.94805194805195,99238.86011342156
2022.0,4.0,Northern Borders,منطقة الحدود الشمالية,730,91273259.0,40000.0,54.8266955638904,125031.86164383561
2023.0,1.0,Northern Borders,منطقة الحدود الشمالية,737,96442849.0,70000.0,97.22222222222223,130858.68249660787
2023.0,2.0,Northern Borders,منطقة الحدود الشمالية,623,73480228.91,50000.0,66.66666666666667,117945.7927929374
2023.0,3.0,Northern Borders,منطقة الحدود الشمالية,657,56642477.65,30000.0,48.1888840005866,86213.81681887366
2023.0,4.0,Northern Borders,منطقة الحدود الشمالية,755,73268803.0,32000.0,48.07692307692308,97044.77218543047
2024.0,1.0,Northern Borders,منطقة الحدود الشمالية,645,66572547.0,30000.0,51.94805194805195,103213.2511627907
2024.0,2.0,Northern Borders,منطقة الحدود الشمالية,1064,122660213.0,40000.0,58.44426877470356,115282.15507518797
2024.0,3.0,Northern Borders,منطقة الحدود الشمالية,658,70275427.0,40000.0,61.05590062111801,106801.56079027355
2024.0,4.0,Northern Borders,منطقة الحدود الشمالية,755,107765249.0,50000.0,64.09352527207702,142735.42913907286
2025.0,1.0,Northern Borders,منطقة الحدود الشمالية,807,135867154.0,65000.0,103.17460317460318,168360.78562577447
2025.0,3.0,Northern Borders,منطقة الحدود الشمالية,778,105564898.0,60000.0,95.23809523809524,135687.529562982
2025.0,4.0,Northern Borders,منطقة الحدود الشمالية,692,123278142.0,70000.0,117.0943277994837,178147.60404624278
2020.0,1.0,Qassim,منطقة القصيم,6858,1912725643.0,131676.5,250.0,278904.2932341791
2020.0,2.0,Qassim,منطقة القصيم,6965,2148577272.0,150000.0,300.0,308482.02038765256
2020.0,3.0,Qassim,منطقة القصيم,6109,1168168960.0,100000.0,180.0,191220.97888361433
2020.0,4.0,Qassim,منطقة القصيم,6830,1935624306.0,125000.0,226.75736961451247,283400.3376281113
2021.0,1.0,Qassim,منطقة القصيم,8169,2017069815.0,120000.0,211.53846153846155,246917.59272860814
2021.0,2.0,Qassim,منطقة القصيم,6817,1815391669.0,122550.0,228.0,266303.60407804017
2021.0,3.0,Qassim,منطقة القصيم,6101,1641010218.0,117150.0,275.0,268973.97443042125
2021.0,4.0,Qassim,منطقة القصيم,6636,2353217003.0,153816.0,333.3333333333333,354613.7738095238
2022.0,1.0,Qassim,منطقة القصيم,6530,2972237753.0,176121.5,361.9927536231884,455166.57779479324
2022.0,2.0,Qassim,منطقة القصيم,5265,1873983988.0,150000.0,310.0,355932.3813865147
2022.0,3.0,Qassim,منطقة القصيم,3677,1167688315.0,139000.0,250.0,317565.4922491161
2022.0,4.0,Qassim,منطقة القصيم,4005,1195043162.0,150000.0,300.0,298387.8057428215
2023.0,1.0,Qassim,منطقة القصيم,4070,1164073984.0,134953.0,235.2941176470588,286013.26388206385
2023.0,2.0,Qassim,منطقة القصيم,3205,1096943768.9600003,150000.0,350.0,342260.14632137294
2023.0,3.0,Qassim,منطقة القصيم,4081,1543185993.5899994,150000.0,340.9984,378139.18000245024
2023.0,4.0,Qassim,منطقة القصيم,3902,2329820593.0,170000.0,380.0,597083.6988723731
2024.0,1.0,Qassim,منطقة القصيم,3760,1258051387.0,175000.0,346.0572826510721,334588.1348404255
2024.0,2.0,Qassim,منطقة القصيم,6044,2088931990.0,161250.0,333.3333333333333,345620.77928524156
2024.0,3.0,Qassim,منطقة القصيم,4689,1368038845.0,167180.0,320.0,291754.925357219
2024.0,4.0,Qassim,منطقة القصيم,5816,1629541687.0,140000.0,304.61538461538464,280182.5459078404
2025.0,1.0,Qassim,منطقة القصيم,5587,2332279315.0,170000.0,390.0,417447.52371576877
2025.0,3.0,Qassim,منطقة القصيم,3021,830258014.0,124000.0,256.4102564102564,274828.86924859317
2025.0,4.0,Qassim,منطقة القصيم,2815,889008368.0,150000.0,296.7999568290972,315811.1431616341
2020.0,1.0,Riyadh,منطقة الرياض,25694,81594346274.0,270000.0,400.0,3175618.6765003502
2020.0,2.0,Riyadh,منطقة الرياض,14481,135726372443.0,519000.0,993.7888198757764,9372720.975277951
2020.0,3.0,Riyadh,منطقة الرياض,19424,12994363068.0,230000.0,378.6796536796537,668984.9190691927
